Country,Time,House Price Index,Income Index,Affordability Ratio
Slovak Republic,2015-Q4,141.28647473593267,127.20232269662041,111.07
Slovak Republic,2016-Q1,143.81845544995957,130.89495318613382,109.87
Slovak Republic,2016-Q2,147.93344667094004,130.89495318613382,113.02
Slovak Republic,2016-Q3,150.61871185306987,130.89495318613382,115.07
Slovak Republic,2016-Q4,153.97703519968786,130.89495318613382,117.63
Slovak Republic,2017-Q1,148.94094367492542,135.04642880416714,110.29
Slovak Republic,2017-Q2,157.90669156378024,135.04642880416714,116.93
Slovak Republic,2017-Q3,162.81597502856667,135.04642880416714,120.56
Slovak Republic,2017-Q4,161.87257880215157,135.04642880416714,119.86
Slovak Republic,2018-Q1,168.06945179900225,144.7885090386815,116.08
Slovak Republic,2018-Q2,169.45876647808032,144.7885090386815,117.04
Slovak Republic,2018-Q3,169.93255483403473,144.7885090386815,117.37
Slovak Republic,2018-Q4,174.6843733452245,144.7885090386815,120.65
Slovak Republic,2019-Q1,179.03207825868844,149.31110852282677,119.91
Slovak Republic,2019-Q2,186.905325938519,149.31110852282677,125.18
Slovak Republic,2019-Q3,190.5841531729885,149.31110852282677,127.64
Slovak Republic,2019-Q4,197.85680443688858,149.31110852282677,132.51
Slovak Republic,2020-Q1,206.5661492154622,151.91350771192063,135.98
Slovak Republic,2020-Q2,207.51372592737104,151.91350771192063,136.6
Slovak Republic,2020-Q3,206.775173490148,151.91350771192063,136.11
Slovak Republic,2020-Q4,213.2270561021153,151.91350771192063,140.36
Slovak Republic,2021-Q1,209.6736434324573,156.5949931580888,133.9
Slovak Republic,2021-Q2,222.56347370474626,156.5949931580888,142.13
Slovak Republic,2021-Q3,228.37434854101056,156.5949931580888,145.84
Slovak Republic,2021-Q4,235.6901981550124,156.5949931580888,150.51
Slovak Republic,2022-Q1,236.72138457679551,155.29552267897003,152.43
Slovak Republic,2022-Q2,250.8918369053259,155.29552267897003,161.56
Slovak Republic,2022-Q3,261.5938797692372,155.29552267897003,168.45
Slovak Republic,2022-Q4,255.68546027145288,155.29552267897003,164.64
Slovak Republic,2023-Q1,257.5806136952705,154.87301961220933,166.32
Slovak Republic,2023-Q2,246.86602937487808,154.87301961220933,159.4
Slovak Republic,2023-Q3,249.86204397870742,154.87301961220933,161.33
Slovak Republic,2023-Q4,254.61246899473258,154.87301961220933,164.4
